threshold		meanRecall		stdRecall		aBO		stdBO
0.05		95.8		14.7		0.71		0.11
0.1		95.2		15.8		0.71		0.12
0.15		95.2		15.5		0.71		0.12
0.2		94.5		16.8		0.70		0.13
0.25		94.4		16.9		0.70		0.13
0.3		94.2		17.1		0.70		0.13
0.35		94.0		17.3		0.70		0.13
0.4		93.4		18.5		0.69		0.14
0.45		92.5		19.8		0.69		0.15
0.5		91.8		20.6		0.68		0.15
0.55		90.9		22.1		0.67		0.17
0.6		88.8		25.2		0.64		0.26
0.65		84.3		30.5		0.58		0.35
0.7		71.0		40.6		0.40		0.55
0.75		48.5		44.5		0.05		0.73
0.8		27.5		38.6		-0.37		0.76
0.85		6.9		20.8		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
