k		meanRecall		stdRecall		aBO		stdBO
1		0.26		5.07		0.41		0.33
2		0.77		8.75		0.48		0.33
3		1.03		10.09		0.53		0.31
4		1.22		10.84		0.58		0.29
5		1.29		10.98		0.61		0.26
6		1.35		11.12		0.64		0.23
7		1.42		11.26		0.65		0.21
8		1.48		11.39		0.67		0.20
9		1.54		11.52		0.67		0.20
10		1.54		11.52		0.68		0.19
15		1.54		11.52		0.69		0.17
20		1.54		11.52		0.70		0.17
25		1.54		11.52		0.70		0.16
30		1.54		11.52		0.71		0.15
35		1.54		11.52		0.71		0.14
40		1.54		11.52		0.72		0.14
45		1.54		11.52		0.72		0.13
50		1.54		11.52		0.72		0.13
60		1.54		11.52		0.72		0.12
70		1.54		11.52		0.72		0.12
80		1.54		11.52		0.72		0.12
90		1.54		11.52		0.72		0.12
100		1.54		11.52		0.72		0.12
