k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.02		0.07
10		0.69		6.78		0.15		0.17
25		2.27		13.09		0.26		0.19
50		4.83		18.56		0.35		0.19
100		9.87		25.87		0.45		0.18
500		39.30		42.99		0.64		0.14
1000		62.46		42.33		0.71		0.13
2000		64.35		42.15		0.72		0.12
3000		64.35		42.15		0.72		0.12
4000		64.35		42.15		0.72		0.12
5000		64.35		42.15		0.72		0.12
