threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		94.55		17.81		131		21		0.69		0.11
0.1		94.57		17.94		101		28		0.69		0.11
0.15		94.53		17.79		68		26		0.69		0.12
0.2		94.08		18.39		51		21		0.69		0.12
0.25		93.82		18.60		42		18		0.68		0.13
0.3		92.47		20.92		36		16		0.68		0.15
0.35		91.74		22.28		31		14		0.67		0.16
0.4		91.01		23.33		28		13		0.66		0.17
0.45		89.75		24.72		25		12		0.65		0.20
0.5		88.72		26.01		23		11		0.65		0.21
0.55		87.86		27.08		20		10		0.63		0.23
0.6		86.21		28.78		18		10		0.61		0.25
0.65		84.02		30.89		16		9		0.59		0.26
0.7		81.32		33.59		14		8		0.57		0.29
0.75		77.31		36.54		12		7		0.53		0.32
0.8		71.36		39.74		10		7		0.47		0.40
0.85		62.81		42.66		8		6		0.36		0.48
0.9		52.40		43.45		5		4		0.23		0.56
0.95		33.87		40.55		3		3		-0.05		0.66
