k		meanRecall		stdRecall		aBO		stdBO
1		15.83		34.66		0.27		0.26
2		21.73		38.93		0.30		0.28
3		25.38		41.22		0.32		0.29
4		29.02		43.08		0.34		0.29
5		31.72		44.15		0.35		0.30
6		33.14		44.64		0.36		0.30
7		33.89		44.84		0.38		0.30
8		35.01		45.17		0.39		0.30
9		36.59		45.56		0.40		0.31
10		37.41		45.62		0.41		0.31
15		44.77		46.16		0.44		0.32
20		52.08		45.80		0.48		0.32
25		57.14		44.76		0.50		0.32
30		62.27		42.48		0.52		0.32
35		66.62		39.78		0.54		0.32
40		68.49		38.49		0.55		0.32
45		70.03		37.67		0.56		0.32
50		70.70		37.05		0.57		0.32
60		72.35		35.62		0.58		0.31
70		74.50		33.28		0.59		0.31
80		75.87		31.93		0.60		0.31
90		77.01		30.98		0.62		0.30
100		78.34		30.25		0.63		0.29
