threshold		meanRecall		stdRecall		aBO		stdBO
0.05		84.6		25.4		0.76		0.12
0.1		84.4		25.7		0.76		0.12
0.15		84.4		25.9		0.76		0.12
0.2		84.1		26.1		0.76		0.12
0.25		83.9		26.4		0.75		0.13
0.3		83.6		26.8		0.75		0.15
0.35		83.2		27.4		0.74		0.17
0.4		82.3		28.3		0.74		0.18
0.45		81.5		28.8		0.73		0.21
0.5		81.0		29.2		0.72		0.22
0.55		79.6		30.5		0.70		0.24
0.6		77.6		32.0		0.69		0.27
0.65		75.2		33.7		0.67		0.28
0.7		70.8		36.4		0.64		0.31
0.75		64.9		39.1		0.60		0.35
0.8		58.5		41.6		0.53		0.42
0.85		47.3		43.8		0.42		0.51
0.9		34.8		42.3		0.28		0.60
0.95		19.2		35.1		-0.01		0.70
