k		meanRecall		stdRecall		aBO		stdBO
1		64.91		36.72		0.41		0.33
2		72.37		33.51		0.47		0.33
3		76.17		31.12		0.50		0.33
4		77.69		30.22		0.53		0.33
5		79.04		29.09		0.55		0.32
6		80.07		28.41		0.57		0.32
7		81.25		27.91		0.59		0.31
8		82.73		26.99		0.60		0.30
9		83.70		26.31		0.62		0.29
10		84.26		25.96		0.63		0.28
15		89.55		22.39		0.69		0.22
20		91.18		20.57		0.71		0.20
25		92.56		19.04		0.72		0.18
30		93.22		18.11		0.72		0.18
35		93.46		17.81		0.73		0.18
40		93.59		17.68		0.73		0.17
45		93.72		17.54		0.73		0.17
50		93.95		17.22		0.73		0.17
60		94.57		15.94		0.74		0.16
70		94.94		15.29		0.74		0.16
80		95.24		14.92		0.74		0.15
90		95.45		14.57		0.75		0.15
100		95.65		14.17		0.75		0.15
