k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.03		0.02
10		0.17		2.80		0.08		0.07
25		2.47		13.42		0.15		0.12
50		10.57		25.73		0.24		0.18
100		25.70		37.18		0.34		0.22
500		67.44		37.92		0.56		0.22
1000		80.72		31.64		0.63		0.18
2000		90.65		23.60		0.69		0.13
3000		95.47		16.97		0.71		0.11
4000		97.02		14.70		0.72		0.10
5000		97.94		12.77		0.72		0.09
