threshold		meanRecall		stdRecall
0.05		4.4		18.8
0.1		4.4		18.8
0.15		4.4		18.8
0.2		4.4		18.8
0.25		4.4		18.8
0.3		4.4		18.8
0.35		4.4		18.8
0.4		4.2		18.2
0.45		4.2		18.2
0.5		4.2		18.2
0.55		4.0		17.9
0.6		3.5		16.5
0.65		3.1		15.3
0.7		2.3		13.0
0.75		1.2		9.9
0.8		0.0		0.0
0.85		0.0		0.0
0.9		0.0		0.0
0.95		0.0		0.0
