k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.02		0.08
10		0.45		5.36		0.16		0.18
25		0.51		5.65		0.27		0.20
50		1.33		9.47		0.37		0.20
100		3.05		14.57		0.47		0.18
500		17.27		32.68		0.65		0.16
1000		17.33		32.69		0.65		0.15
2000		17.33		32.69		0.65		0.15
3000		17.33		32.69		0.65		0.15
4000		17.33		32.69		0.65		0.15
5000		17.33		32.69		0.65		0.15
