threshold		meanRecall		stdRecall		aBO		stdBO
0.05		62.9		39.6		0.69		0.11
0.1		62.9		39.4		0.69		0.11
0.15		62.6		39.8		0.69		0.12
0.2		62.4		39.4		0.69		0.12
0.25		62.0		39.3		0.68		0.13
0.3		61.5		39.7		0.68		0.15
0.35		60.7		40.0		0.67		0.16
0.4		59.8		40.4		0.66		0.17
0.45		58.8		40.8		0.65		0.20
0.5		58.6		41.1		0.65		0.21
0.55		55.7		42.0		0.63		0.23
0.6		52.7		42.8		0.61		0.25
0.65		48.6		43.7		0.59		0.26
0.7		43.8		43.8		0.57		0.29
0.75		38.6		43.8		0.53		0.32
0.8		33.6		43.1		0.47		0.40
0.85		25.5		40.0		0.36		0.48
0.9		15.1		33.3		0.23		0.56
0.95		5.8		21.8		-0.05		0.66
