k		meanRecall		stdRecall		aBO		stdBO
1		28.14		38.75		0.41		0.33
2		41.74		42.01		0.49		0.32
3		51.87		42.59		0.56		0.29
4		56.59		42.33		0.61		0.25
5		60.06		41.87		0.64		0.21
6		61.15		41.55		0.66		0.20
7		62.18		41.34		0.66		0.19
8		62.18		41.34		0.67		0.18
9		62.53		41.28		0.67		0.17
10		62.72		41.34		0.68		0.17
15		63.77		41.21		0.69		0.16
20		64.37		41.16		0.70		0.14
25		64.82		40.96		0.70		0.13
30		64.89		40.90		0.70		0.12
35		64.89		40.90		0.70		0.12
40		64.89		40.90		0.70		0.12
45		64.95		40.83		0.70		0.12
50		64.95		40.83		0.70		0.12
60		64.95		40.83		0.71		0.12
70		64.95		40.83		0.71		0.11
80		64.95		40.83		0.71		0.11
90		64.95		40.83		0.71		0.11
100		64.95		40.83		0.71		0.11
