k		meanRecall		stdRecall		aBO		stdBO
1		1.67		12.31		0.27		0.26
2		3.90		18.62		0.31		0.28
3		4.68		20.42		0.35		0.29
4		7.06		24.85		0.39		0.29
5		8.92		27.42		0.42		0.29
6		9.82		28.50		0.45		0.29
7		11.05		29.67		0.47		0.29
8		11.50		29.98		0.48		0.29
9		12.01		30.31		0.50		0.29
10		12.27		30.42		0.51		0.29
15		13.17		31.03		0.56		0.26
20		13.36		31.07		0.61		0.22
25		13.36		31.07		0.65		0.17
30		13.62		31.13		0.67		0.14
35		14.01		31.37		0.68		0.13
40		14.01		31.37		0.68		0.13
45		14.07		31.39		0.68		0.13
50		14.07		31.39		0.68		0.13
60		14.07		31.39		0.68		0.12
70		14.07		31.39		0.68		0.12
80		14.07		31.39		0.68		0.12
90		14.07		31.39		0.68		0.12
100		14.07		31.39		0.68		0.12
