k		meanRecall		stdRecall		aBO		stdBO
1		52.60		41.52		0.41		0.33
2		64.97		38.92		0.48		0.33
3		71.66		35.75		0.53		0.31
4		75.44		33.37		0.58		0.29
5		77.76		32.19		0.61		0.26
6		79.79		31.07		0.64		0.23
7		81.72		29.64		0.65		0.21
8		83.16		28.13		0.67		0.20
9		84.08		27.36		0.67		0.20
10		84.98		26.68		0.68		0.19
15		86.55		25.13		0.69		0.17
20		87.26		24.08		0.70		0.17
25		88.33		23.24		0.70		0.16
30		88.76		23.01		0.71		0.15
35		89.17		22.58		0.71		0.14
40		89.55		22.23		0.72		0.14
45		89.77		21.97		0.72		0.13
50		89.92		21.75		0.72		0.13
60		90.26		21.11		0.72		0.12
70		90.48		20.77		0.72		0.12
80		90.65		20.43		0.72		0.12
90		90.65		20.43		0.72		0.12
100		90.84		20.12		0.72		0.12
