k		meanRecall		stdRecall		aBO		stdBO
1		0.32		4.73		0.02		0.07
10		6.95		22.57		0.15		0.17
25		14.97		31.55		0.26		0.19
50		25.50		38.38		0.35		0.19
100		43.44		43.93		0.45		0.18
500		84.96		30.37		0.64		0.14
1000		94.25		19.15		0.71		0.13
2000		95.15		17.84		0.72		0.12
3000		95.15		17.84		0.72		0.12
4000		95.15		17.84		0.72		0.12
5000		95.15		17.84		0.72		0.12
