k		meanRecall		stdRecall		aBO		stdBO
1		29.43		41.67		0.27		0.26
2		37.49		44.20		0.31		0.28
3		45.88		45.17		0.35		0.29
4		51.99		44.49		0.39		0.29
5		58.45		43.77		0.42		0.29
6		63.02		41.95		0.45		0.29
7		66.80		39.92		0.47		0.29
8		69.50		38.13		0.48		0.29
9		71.62		36.92		0.50		0.29
10		72.67		36.32		0.51		0.29
15		80.07		31.87		0.56		0.26
20		86.29		27.86		0.61		0.22
25		90.11		24.75		0.65		0.17
30		92.41		21.73		0.67		0.14
35		93.11		20.37		0.68		0.13
40		93.18		20.15		0.68		0.13
45		93.67		19.22		0.68		0.13
50		93.78		19.13		0.68		0.13
60		93.99		19.01		0.68		0.12
70		94.10		18.75		0.68		0.12
80		94.14		18.73		0.68		0.12
90		94.14		18.73		0.68		0.12
100		94.14		18.73		0.68		0.12
