threshold		meanRecall		stdRecall		aBO		stdBO
0.05		96.7		12.4		0.76		0.12
0.1		96.5		12.6		0.76		0.12
0.15		96.2		13.2		0.76		0.13
0.2		96.1		13.3		0.76		0.13
0.25		96.1		13.4		0.75		0.13
0.3		95.8		14.1		0.75		0.14
0.35		95.5		14.4		0.75		0.14
0.4		94.9		15.5		0.75		0.14
0.45		94.5		16.0		0.74		0.15
0.5		93.7		17.4		0.74		0.16
0.55		92.3		20.2		0.73		0.18
0.6		90.8		23.0		0.69		0.27
0.65		86.4		29.3		0.63		0.36
0.7		73.0		40.0		0.44		0.58
0.75		49.3		44.4		0.08		0.75
0.8		27.5		38.6		-0.37		0.77
0.85		6.9		20.8		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
