k		meanRecall		stdRecall		aBO		stdBO
1		29.43		41.67		0.27		0.26
2		37.54		44.32		0.31		0.28
3		45.45		45.23		0.35		0.29
4		51.65		44.58		0.38		0.29
5		57.66		43.95		0.42		0.29
6		62.16		42.47		0.44		0.29
7		65.59		40.59		0.46		0.30
8		69.03		38.60		0.48		0.29
9		70.83		37.32		0.49		0.29
10		72.78		36.25		0.50		0.29
15		77.95		32.92		0.55		0.28
20		84.88		28.84		0.60		0.24
25		87.49		27.16		0.63		0.21
30		90.39		24.56		0.66		0.17
35		92.19		21.87		0.68		0.14
40		92.69		20.88		0.68		0.14
45		93.11		20.37		0.68		0.13
50		93.37		19.65		0.69		0.13
60		94.14		18.26		0.69		0.12
70		94.27		18.19		0.69		0.12
80		94.36		18.14		0.69		0.12
90		94.36		18.14		0.69		0.12
100		94.40		18.11		0.69		0.12
