threshold		meanRecall		stdRecall		aBO		stdBO
0.05		4.4		18.8		0.76		0.12
0.1		4.4		18.8		0.76		0.12
0.15		4.4		18.8		0.76		0.12
0.2		4.4		18.8		0.76		0.12
0.25		4.4		18.8		0.75		0.13
0.3		4.4		18.8		0.75		0.15
0.35		4.4		18.8		0.74		0.17
0.4		4.2		18.6		0.74		0.18
0.45		4.0		18.4		0.73		0.21
0.5		3.8		18.0		0.72		0.22
0.55		3.7		17.9		0.70		0.24
0.6		3.5		17.4		0.69		0.27
0.65		3.0		16.5		0.67		0.28
0.7		2.6		15.7		0.64		0.31
0.75		2.6		15.6		0.60		0.35
0.8		2.2		14.6		0.53		0.42
0.85		1.7		12.8		0.42		0.51
0.9		1.2		10.7		0.28		0.60
0.95		0.4		6.2		-0.01		0.70
