k		meanRecall		stdRecall		aBO		stdBO
1		5.64		21.29		0.41		0.33
2		10.15		28.03		0.49		0.32
3		15.23		33.70		0.55		0.30
4		17.74		35.98		0.60		0.26
5		19.65		37.69		0.63		0.23
6		20.74		38.42		0.65		0.20
7		20.94		38.44		0.66		0.19
8		21.26		38.73		0.67		0.18
9		21.56		38.91		0.68		0.18
10		21.56		38.91		0.68		0.17
15		22.29		39.32		0.69		0.16
20		22.61		39.38		0.70		0.14
25		22.80		39.44		0.70		0.13
30		22.80		39.44		0.71		0.13
35		22.80		39.44		0.71		0.12
40		22.80		39.44		0.71		0.12
45		22.80		39.44		0.71		0.12
50		22.80		39.44		0.71		0.12
60		22.80		39.44		0.71		0.12
70		22.80		39.44		0.71		0.11
80		22.80		39.44		0.71		0.11
90		22.80		39.44		0.71		0.11
100		22.80		39.44		0.71		0.11
