k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.27		0.26
2		0.13		3.59		0.30		0.28
3		0.13		3.59		0.32		0.29
4		0.26		5.07		0.34		0.29
5		0.51		7.16		0.35		0.30
6		0.51		7.16		0.36		0.30
7		0.64		8.00		0.38		0.30
8		1.03		10.09		0.39		0.30
9		1.16		10.70		0.40		0.31
10		1.29		11.27		0.41		0.31
15		1.80		13.30		0.44		0.32
20		2.06		14.20		0.48		0.32
25		2.19		14.63		0.50		0.32
30		2.19		14.63		0.52		0.32
35		2.19		14.63		0.54		0.32
40		2.32		15.04		0.55		0.32
45		2.45		15.45		0.56		0.32
50		2.45		15.45		0.57		0.32
60		2.51		15.54		0.58		0.31
70		2.68		15.76		0.59		0.31
80		2.75		15.85		0.60		0.31
90		2.81		15.94		0.62		0.30
100		3.00		16.21		0.63		0.29
