threshold		meanRecall		stdRecall		aBO		stdBO
0.05		92.4		22.2		0.67		0.12
0.1		92.5		22.0		0.67		0.12
0.15		92.2		22.2		0.67		0.13
0.2		91.7		23.1		0.66		0.13
0.25		90.3		25.0		0.66		0.14
0.3		90.3		25.0		0.65		0.15
0.35		89.0		26.2		0.64		0.17
0.4		87.8		28.0		0.63		0.18
0.45		86.6		29.2		0.62		0.20
0.5		84.3		31.4		0.60		0.21
0.55		82.8		32.7		0.59		0.22
0.6		79.7		34.4		0.57		0.24
0.65		77.1		36.2		0.54		0.25
0.7		73.5		38.3		0.52		0.28
0.75		68.7		40.6		0.48		0.31
0.8		62.2		42.7		0.42		0.38
0.85		53.8		44.7		0.32		0.46
0.9		41.8		44.8		0.19		0.54
0.95		22.9		37.6		-0.08		0.64
