k		meanRecall		stdRecall		aBO		stdBO
1		28.14		38.75		0.41		0.33
2		42.26		42.41		0.50		0.31
3		52.06		43.14		0.58		0.27
4		56.22		42.76		0.62		0.22
5		58.07		42.41		0.64		0.20
6		58.97		42.23		0.65		0.19
7		59.42		42.17		0.66		0.18
8		59.65		42.16		0.67		0.18
9		60.02		42.15		0.67		0.17
10		60.23		42.18		0.67		0.17
15		61.03		41.98		0.68		0.14
20		61.30		41.99		0.69		0.13
25		61.43		41.95		0.69		0.13
30		61.43		41.95		0.69		0.13
35		61.43		41.95		0.69		0.12
40		61.43		41.95		0.69		0.12
45		61.43		41.95		0.69		0.12
50		61.43		41.95		0.70		0.12
60		61.43		41.95		0.70		0.12
70		61.43		41.95		0.70		0.12
80		61.43		41.95		0.70		0.12
90		61.43		41.95		0.70		0.12
100		61.43		41.95		0.70		0.12
