k		meanRecall		stdRecall
1		64.9		36.7
2		72.4		33.5
3		76.2		31.1
4		77.7		30.2
5		79.0		29.1
6		80.1		28.4
7		81.3		27.9
8		82.7		27.0
9		83.7		26.3
10		84.3		26.0
15		89.6		22.4
20		91.2		20.6
25		92.6		19.0
30		93.2		18.1
35		93.5		17.8
40		93.6		17.7
45		93.7		17.5
50		94.0		17.2
60		94.6		15.9
70		94.9		15.3
80		95.2		14.9
90		95.5		14.6
100		95.6		14.2
