threshold		meanRecall		stdRecall		aBO		stdBO
0.05		0.1		3.6		0.67		0.12
0.1		0.1		3.6		0.67		0.12
0.15		0.1		3.6		0.67		0.13
0.2		0.1		3.6		0.66		0.13
0.25		0.1		3.6		0.66		0.14
0.3		0.1		3.6		0.65		0.15
0.35		0.1		3.6		0.64		0.17
0.4		0.1		3.6		0.63		0.18
0.45		0.1		3.6		0.62		0.20
0.5		0.1		3.6		0.60		0.21
0.55		0.1		3.6		0.59		0.22
0.6		0.3		5.1		0.57		0.24
0.65		0.3		5.1		0.54		0.25
0.7		0.4		6.2		0.52		0.28
0.75		0.3		5.1		0.48		0.31
0.8		0.3		5.1		0.42		0.38
0.85		0.3		5.1		0.32		0.46
0.9		0.0		0.0		0.19		0.54
0.95		0.0		0.0		-0.08		0.64
