threshold		meanRecall		stdRecall		aBO		stdBO
0.05		1.0		9.3		0.70		0.12
0.1		0.8		8.9		0.69		0.12
0.15		0.8		8.8		0.68		0.13
0.2		0.8		8.8		0.68		0.13
0.25		0.8		8.8		0.67		0.14
0.3		0.8		8.8		0.67		0.14
0.35		0.5		7.2		0.66		0.14
0.4		0.4		6.2		0.65		0.15
0.45		0.6		8.0		0.65		0.15
0.5		0.5		7.2		0.64		0.16
0.55		0.6		8.0		0.63		0.18
0.6		0.6		8.0		0.60		0.25
0.65		0.3		5.1		0.55		0.34
0.7		0.0		0.0		0.38		0.55
0.75		0.0		0.0		0.05		0.73
0.8		0.0		0.0		-0.38		0.76
0.85		0.0		0.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
