threshold		meanRecall		stdRecall		aBO		stdBO
0.05		84.6		25.4		0.76		0.12
0.1		84.6		25.4		0.76		0.12
0.15		84.5		25.5		0.76		0.13
0.2		84.5		25.5		0.76		0.13
0.25		84.4		25.7		0.75		0.13
0.3		84.4		25.7		0.75		0.14
0.35		84.3		25.8		0.75		0.14
0.4		84.0		26.0		0.75		0.14
0.45		83.6		26.6		0.74		0.15
0.5		82.9		27.7		0.74		0.16
0.55		81.4		29.3		0.73		0.18
0.6		78.2		32.5		0.69		0.27
0.65		69.5		38.6		0.63		0.36
0.7		54.1		43.5		0.44		0.58
0.75		32.9		41.1		0.08		0.75
0.8		16.0		29.1		-0.37		0.77
0.85		4.7		16.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
