threshold		meanRecall		stdRecall
0.05		84.6		25.4
0.1		84.6		25.4
0.15		84.5		25.5
0.2		84.5		25.5
0.25		84.4		25.7
0.3		84.4		25.7
0.35		84.3		25.8
0.4		84.0		26.0
0.45		83.6		26.6
0.5		82.9		27.7
0.55		81.4		29.3
0.6		78.2		32.5
0.65		69.5		38.6
0.7		54.0		43.5
0.75		32.9		41.1
0.8		16.0		29.1
0.85		4.7		16.0
0.9		0.0		0.0
0.95		0.0		0.0
