k		meanRecall		stdRecall		aBO		stdBO
1		29.43		41.67		0.27		0.26
2		35.84		43.81		0.30		0.28
3		39.79		44.76		0.32		0.29
4		42.26		45.01		0.34		0.29
5		44.57		45.06		0.35		0.30
6		46.85		44.92		0.36		0.30
7		49.31		44.89		0.38		0.30
8		51.82		44.53		0.39		0.30
9		53.86		44.34		0.40		0.31
10		55.66		44.07		0.41		0.31
15		63.17		40.93		0.44		0.32
20		68.32		38.44		0.48		0.32
25		71.41		36.46		0.50		0.32
30		74.26		34.63		0.52		0.32
35		75.80		33.65		0.54		0.32
40		76.68		32.71		0.55		0.32
45		77.33		32.12		0.56		0.32
50		77.89		31.63		0.57		0.32
60		78.91		30.69		0.58		0.31
70		79.88		29.81		0.59		0.31
80		80.78		28.99		0.60		0.31
90		82.33		28.19		0.62		0.30
100		83.81		27.29		0.63		0.29
