threshold		meanRecall		stdRecall		aBO		stdBO
0.05		91.1		19.6		0.73		0.11
0.1		90.9		20.0		0.72		0.11
0.15		90.5		20.8		0.72		0.12
0.2		90.1		21.8		0.72		0.12
0.25		89.9		21.9		0.72		0.13
0.3		89.8		22.0		0.72		0.13
0.35		89.6		22.2		0.72		0.13
0.4		89.1		23.1		0.71		0.14
0.45		88.6		23.7		0.71		0.14
0.5		87.9		24.3		0.70		0.15
0.55		86.4		26.3		0.69		0.17
0.6		84.3		29.2		0.66		0.26
0.65		78.8		34.5		0.60		0.35
0.7		64.3		42.8		0.42		0.56
0.75		43.6		44.4		0.06		0.74
0.8		25.3		37.4		-0.37		0.76
0.85		6.4		20.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
