threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		96.42		13.36		124		49		0.73		0.11
0.1		96.12		13.96		79		34		0.72		0.11
0.15		95.77		14.56		62		27		0.72		0.12
0.2		95.52		15.06		53		23		0.72		0.12
0.25		95.39		15.26		46		20		0.72		0.13
0.3		94.96		15.80		40		18		0.72		0.13
0.35		94.62		16.26		35		16		0.72		0.13
0.4		94.10		17.24		30		14		0.71		0.14
0.45		93.63		18.15		26		12		0.71		0.14
0.5		92.84		19.25		21		10		0.70		0.15
0.55		91.98		20.68		16		8		0.69		0.17
0.6		90.00		24.01		11		6		0.66		0.26
0.65		85.50		29.76		7		5		0.60		0.35
0.7		72.07		40.24		3		2		0.42		0.56
0.75		48.82		44.48		1		1		0.06		0.74
0.8		27.46		38.57		0		0		-0.37		0.76
0.85		6.93		20.80		0		0		-0.82		0.49
0.9		0.00		0.00		0		0		-1.00		0.00
0.95		0.00		0.00		0		0		-1.00		0.00
