threshold		meanRecall		stdRecall		aBO		stdBO
0.05		86.2		27.2		0.70		0.12
0.1		85.0		28.8		0.69		0.12
0.15		84.2		29.6		0.68		0.13
0.2		83.2		30.5		0.68		0.13
0.25		82.1		31.1		0.67		0.14
0.3		80.3		31.9		0.67		0.14
0.35		79.3		32.5		0.66		0.14
0.4		77.6		33.7		0.65		0.15
0.45		76.8		34.0		0.65		0.15
0.5		75.8		34.9		0.64		0.16
0.55		74.0		36.2		0.63		0.18
0.6		71.5		38.0		0.60		0.25
0.65		64.8		41.2		0.55		0.34
0.7		56.0		44.2		0.38		0.55
0.75		41.1		43.8		0.05		0.73
0.8		24.9		37.2		-0.38		0.76
0.85		6.3		20.0		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
