threshold		meanRecall		stdRecall		aBO		stdBO
0.05		19.9		37.3		0.70		0.12
0.1		18.8		36.2		0.69		0.12
0.15		18.5		35.8		0.68		0.13
0.2		17.0		34.7		0.68		0.13
0.25		16.2		33.8		0.67		0.14
0.3		15.6		33.3		0.67		0.14
0.35		14.3		32.0		0.66		0.14
0.4		12.7		30.5		0.65		0.15
0.45		12.2		29.9		0.65		0.15
0.5		11.3		29.0		0.64		0.16
0.55		10.3		27.8		0.63		0.18
0.6		9.0		26.2		0.60		0.25
0.65		7.0		23.0		0.55		0.34
0.7		5.2		19.6		0.38		0.55
0.75		4.5		17.9		0.05		0.73
0.8		3.3		15.4		-0.38		0.76
0.85		0.4		6.3		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
