k		meanRecall		stdRecall
1		64.9		36.7
2		78.2		32.3
3		84.0		28.6
4		87.2		26.1
5		89.2		24.0
6		90.2		22.8
7		90.4		22.5
8		90.8		21.8
9		91.2		21.4
10		91.3		21.4
15		92.3		20.4
20		92.4		20.1
25		92.4		20.1
30		92.7		20.0
35		92.7		19.9
40		92.7		19.8
45		92.7		19.8
50		92.7		19.8
60		92.7		19.8
70		92.7		19.8
80		92.7		19.8
90		92.7		19.8
100		92.7		19.8
