threshold		meanRecall		stdRecall		aBO		stdBO
0.05		14.1		31.4		0.68		0.12
0.1		14.0		31.5		0.68		0.12
0.15		14.0		31.5		0.68		0.12
0.2		14.2		31.8		0.68		0.12
0.25		14.0		31.5		0.67		0.14
0.3		14.0		31.6		0.67		0.15
0.35		13.9		31.4		0.66		0.17
0.4		13.4		31.0		0.65		0.17
0.45		13.4		31.0		0.64		0.20
0.5		12.5		30.1		0.63		0.21
0.55		12.0		29.6		0.62		0.23
0.6		11.2		28.8		0.60		0.25
0.65		10.1		27.9		0.58		0.26
0.7		7.4		24.1		0.55		0.28
0.75		7.4		24.2		0.51		0.32
0.8		5.4		21.1		0.45		0.39
0.85		4.4		19.3		0.35		0.47
0.9		2.5		14.7		0.21		0.55
0.95		0.6		7.6		-0.07		0.65
