k		meanRecall		stdRecall		aBO		stdBO
1		1.67		12.31		0.27		0.26
2		4.10		19.17		0.31		0.28
3		6.03		23.26		0.34		0.29
4		7.51		25.80		0.37		0.29
5		9.12		28.11		0.39		0.30
6		10.60		29.99		0.41		0.30
7		13.04		32.76		0.43		0.30
8		14.59		34.14		0.45		0.30
9		15.49		34.87		0.46		0.30
10		16.07		35.21		0.48		0.30
15		18.85		36.93		0.52		0.30
20		20.42		37.79		0.54		0.30
25		21.47		38.23		0.57		0.29
30		22.31		38.60		0.59		0.27
35		22.78		38.58		0.63		0.24
40		23.08		38.60		0.65		0.23
45		23.25		38.60		0.66		0.22
50		23.68		38.69		0.67		0.20
60		24.02		38.68		0.70		0.16
70		24.15		38.77		0.71		0.15
80		24.15		38.77		0.71		0.14
90		24.35		38.77		0.72		0.13
100		24.45		38.76		0.72		0.13
