k		meanRecall		stdRecall		aBO		stdBO
1		0.00		0.00		0.02		0.08
10		1.42		10.05		0.16		0.18
25		2.77		13.97		0.27		0.20
50		5.49		19.11		0.37		0.20
100		11.07		27.00		0.47		0.18
500		43.29		43.88		0.65		0.16
1000		43.48		43.95		0.65		0.15
2000		43.48		43.95		0.65		0.15
3000		43.48		43.95		0.65		0.15
4000		43.48		43.95		0.65		0.15
5000		43.48		43.95		0.65		0.15
