k		meanRecall		stdRecall		aBO		stdBO
1		5.64		21.29		0.41		0.33
2		10.02		27.84		0.50		0.31
3		14.97		33.43		0.58		0.27
4		17.16		35.40		0.62		0.22
5		18.23		36.42		0.64		0.20
6		18.62		36.58		0.65		0.19
7		18.75		36.60		0.66		0.18
8		19.00		36.82		0.67		0.18
9		19.24		37.02		0.67		0.17
10		19.35		37.11		0.67		0.17
15		19.80		37.28		0.68		0.14
20		19.88		37.31		0.69		0.13
25		19.88		37.31		0.69		0.13
30		19.88		37.31		0.69		0.13
35		19.88		37.31		0.69		0.12
40		19.88		37.31		0.69		0.12
45		19.88		37.31		0.69		0.12
50		19.88		37.31		0.70		0.12
60		19.88		37.31		0.70		0.12
70		19.88		37.31		0.70		0.12
80		19.88		37.31		0.70		0.12
90		19.88		37.31		0.70		0.12
100		19.88		37.31		0.70		0.12
