threshold		meanRecall		stdRecall		aBO		stdBO
0.05		14.2		31.7		0.67		0.12
0.1		13.9		31.4		0.67		0.12
0.15		13.3		30.9		0.67		0.13
0.2		12.7		30.3		0.66		0.13
0.25		12.5		30.1		0.66		0.14
0.3		12.1		29.3		0.65		0.15
0.35		11.6		28.8		0.64		0.17
0.4		11.0		28.2		0.63		0.18
0.45		10.2		27.2		0.62		0.20
0.5		9.9		27.3		0.60		0.21
0.55		8.7		25.9		0.59		0.22
0.6		8.6		26.1		0.57		0.24
0.65		7.4		24.6		0.54		0.25
0.7		6.0		22.1		0.52		0.28
0.75		5.3		20.9		0.48		0.31
0.8		4.6		19.9		0.42		0.38
0.85		3.3		17.0		0.32		0.46
0.9		1.7		11.8		0.19		0.54
0.95		0.6		7.6		-0.08		0.64
