k		meanRecall		stdRecall		aBO		stdBO
1		0.26		5.07		0.41		0.33
2		0.64		8.00		0.50		0.31
3		0.77		8.75		0.58		0.27
4		0.84		8.93		0.62		0.22
5		0.90		9.10		0.64		0.20
6		0.90		9.10		0.65		0.19
7		0.90		9.10		0.66		0.18
8		0.97		9.27		0.67		0.18
9		0.97		9.27		0.67		0.17
10		0.97		9.27		0.67		0.17
15		0.97		9.27		0.68		0.14
20		0.97		9.27		0.69		0.13
25		0.97		9.27		0.69		0.13
30		0.97		9.27		0.69		0.13
35		0.97		9.27		0.69		0.12
40		0.97		9.27		0.69		0.12
45		0.97		9.27		0.69		0.12
50		0.97		9.27		0.70		0.12
60		0.97		9.27		0.70		0.12
70		0.97		9.27		0.70		0.12
80		0.97		9.27		0.70		0.12
90		0.97		9.27		0.70		0.12
100		0.97		9.27		0.70		0.12
