threshold		meanRecall		stdRecall		aBO		stdBO
0.05		28.0		42.3		0.73		0.11
0.1		27.8		42.1		0.72		0.11
0.15		27.7		42.1		0.72		0.12
0.2		27.9		42.3		0.72		0.12
0.25		27.7		42.2		0.72		0.13
0.3		27.7		42.3		0.72		0.13
0.35		27.7		42.2		0.72		0.13
0.4		27.4		42.1		0.71		0.14
0.45		27.2		42.0		0.71		0.14
0.5		26.5		41.8		0.70		0.15
0.55		25.1		41.1		0.69		0.17
0.6		21.8		39.0		0.66		0.26
0.65		18.2		36.2		0.60		0.35
0.7		11.9		29.7		0.42		0.56
0.75		7.4		23.3		0.06		0.74
0.8		3.5		15.5		-0.37		0.76
0.85		0.4		6.3		-0.82		0.49
0.9		0.0		0.0		-1.00		0.00
0.95		0.0		0.0		-1.00		0.00
