threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		96.33		13.99		302		53		0.73		0.11
0.1		96.29		14.03		222		71		0.73		0.11
0.15		96.18		14.16		148		60		0.73		0.11
0.2		95.75		14.69		111		49		0.72		0.12
0.25		95.07		15.52		90		41		0.72		0.13
0.3		94.25		17.20		77		36		0.71		0.15
0.35		93.52		18.82		67		32		0.71		0.16
0.4		92.96		19.83		60		30		0.70		0.17
0.45		91.76		21.74		53		27		0.69		0.20
0.5		90.65		23.70		48		25		0.68		0.21
0.55		89.68		24.73		43		23		0.67		0.23
0.6		88.55		25.82		38		21		0.65		0.26
0.65		87.02		27.40		33		20		0.63		0.27
0.7		84.83		29.67		29		18		0.60		0.30
0.75		80.95		32.98		24		16		0.57		0.33
0.8		74.45		37.54		20		14		0.50		0.41
0.85		65.77		41.12		16		12		0.39		0.50
0.9		54.80		42.87		11		9		0.25		0.58
0.95		37.52		40.46		6		7		-0.03		0.68
