threshold		meanRecall		stdRecall		aBO		stdBO
0.05		16.0		33.2		0.69		0.11
0.1		15.8		33.0		0.69		0.11
0.15		15.9		33.0		0.69		0.12
0.2		15.8		33.0		0.69		0.12
0.25		16.0		33.2		0.68		0.13
0.3		16.0		33.3		0.68		0.15
0.35		16.3		33.5		0.67		0.16
0.4		16.0		33.3		0.66		0.17
0.45		15.7		33.0		0.65		0.20
0.5		15.5		32.9		0.65		0.21
0.55		15.3		32.7		0.63		0.23
0.6		14.4		31.9		0.61		0.25
0.65		14.2		31.8		0.59		0.26
0.7		11.4		28.7		0.57		0.29
0.75		9.8		27.0		0.53		0.32
0.8		8.4		25.8		0.47		0.40
0.85		5.9		22.2		0.36		0.48
0.9		3.3		17.1		0.23		0.56
0.95		1.2		10.4		-0.05		0.66
