k		meanRecall		stdRecall		aBO		stdBO
1		15.83		34.66		0.27		0.26
2		22.42		39.79		0.31		0.28
3		28.34		43.00		0.35		0.29
4		33.03		44.61		0.38		0.29
5		37.62		45.86		0.42		0.29
6		42.71		46.22		0.44		0.29
7		47.68		45.77		0.46		0.30
8		52.87		44.62		0.48		0.29
9		56.63		43.37		0.49		0.29
10		60.08		42.37		0.50		0.29
15		67.59		38.91		0.55		0.28
20		74.24		35.99		0.60		0.24
25		77.63		34.34		0.63		0.21
30		80.24		33.11		0.66		0.17
35		82.07		31.48		0.68		0.14
40		82.88		30.53		0.68		0.14
45		83.25		30.23		0.68		0.13
50		83.57		29.82		0.69		0.13
60		84.51		28.72		0.69		0.12
70		84.62		28.58		0.69		0.12
80		84.62		28.58		0.69		0.12
90		84.68		28.45		0.69		0.12
100		84.68		28.45		0.69		0.12
