k		meanRecall		stdRecall		aBO		stdBO
1		29.43		41.67		0.27		0.26
2		37.41		44.28		0.31		0.28
3		43.84		45.15		0.34		0.29
4		48.52		45.30		0.37		0.29
5		52.10		44.92		0.39		0.30
6		55.90		43.97		0.41		0.30
7		59.16		43.41		0.43		0.30
8		62.23		42.00		0.45		0.30
9		65.27		40.28		0.46		0.30
10		68.13		38.82		0.48		0.30
15		74.05		35.27		0.52		0.30
20		76.43		33.06		0.54		0.30
25		79.62		31.12		0.57		0.29
30		82.18		29.85		0.59		0.27
35		85.71		28.20		0.63		0.24
40		87.58		26.76		0.65		0.23
45		88.63		25.89		0.66		0.22
50		89.85		24.99		0.67		0.20
60		92.34		22.17		0.70		0.16
70		93.56		19.96		0.71		0.15
80		94.32		18.74		0.71		0.14
90		94.94		17.00		0.72		0.13
100		95.43		15.62		0.72		0.13
