k		meanRecall		stdRecall		aBO		stdBO
1		52.60		41.52		0.41		0.33
2		65.38		38.85		0.49		0.32
3		72.48		35.39		0.55		0.30
4		76.45		33.13		0.60		0.26
5		79.30		31.48		0.63		0.23
6		81.96		29.49		0.65		0.20
7		83.23		28.46		0.66		0.19
8		84.02		28.02		0.67		0.18
9		84.49		27.56		0.68		0.18
10		85.16		26.95		0.68		0.17
15		86.49		26.00		0.69		0.16
20		87.43		25.44		0.70		0.14
25		87.84		25.19		0.70		0.13
30		88.16		24.64		0.71		0.13
35		88.40		24.20		0.71		0.12
40		88.40		24.20		0.71		0.12
45		88.61		23.92		0.71		0.12
50		88.61		23.92		0.71		0.12
60		88.70		23.84		0.71		0.12
70		88.87		23.50		0.71		0.11
80		88.91		23.43		0.71		0.11
90		88.91		23.43		0.71		0.11
100		88.91		23.43		0.71		0.11
